training/log10loss/mean,training/loss/q_loss/std,training/time/grad/std,training/time/loss/max,training/loss/mean,training/loss/v_loss/std,training/epochs,training/loss/v_loss/mean,training/epoch_time,training/time/grad/mean,training/cpu_memory_MB,training/time/grad/max,training/time/loss/std,training/loss/std,training/loss/q_loss/mean,training/time/loss/mean,training/time/loss/min,training/log10loss/std,training/time/grad/min
-1.9222552,8.47895667625423e-06,0.000680770762288468,0.19485454200003005,0.012004519,0.01026062462711395,12,0.11917566466662619,34.65228019799997,0.19985907302780484,1365.256,0.20357113299996854,0.008418172261930292,0.0010340463,8.695220458321273e-05,0.18133082919444454,0.15557784200018432,0.03726602,0.1973097689997303
-1.9293423,7.900620880086094e-06,0.000596046514353747,0.2137170179998975,0.011811271,0.010092967311008503,13,0.11725718507336245,34.90847831700012,0.1999317109444405,1365.256,0.20209034099980272,0.009227615750540546,0.0010167893,8.555277832379538e-05,0.18552343144445002,0.1479038889997355,0.037933,0.19701696299989635
-1.9358678,7.265950427780001e-06,0.0005526651035434196,0.20231321100027344,0.011625901,0.00893294916606197,14,0.11541561585747534,34.77218526600018,0.19992302827776914,1365.264,0.20234353199975885,0.010702229579363433,0.0008998594,8.433885078476224e-05,0.183003145541679,0.15337741999974241,0.033501554,0.19765170700020462
-1.9419893,7.602496568060585e-06,0.0007335137380581784,0.20256161899988,0.011467835,0.009405144976445044,15,0.11384695706268151,34.92936792699993,0.19995726413886436,1365.264,0.20498200099973474,0.014048985493405212,0.00094781065,8.313926082337275e-05,0.1850225529582998,0.15352409699971759,0.03569476,0.19721731499976158
-1.9491628,8.697844503314492e-06,0.0004954525861794528,0.18905150499995216,0.011288946,0.010284400069592286,16,0.11206978538797961,32.765695779,0.19968314176387342,1365.264,0.20161348999999973,0.005661799325938855,0.0010367275,8.196718343040427e-05,0.15562332574999496,0.14601203000029273,0.039671015,0.1971918290000758
-1.9557745,7.703673406244784e-06,0.0003841275658076046,0.21697332899975663,0.011111764,0.00949138825125517,17,0.11031025492896636,35.504477037000015,0.19984683381946095,1365.272,0.20080382600008306,0.014614841425092825,0.0009564911,8.073929145919262e-05,0.19286230772221163,0.1464477760000591,0.036509912,0.19779069700007312
-1.9628565,8.06402349745899e-06,0.0006234059161115621,0.21943938999993406,0.010946118,0.01069748991032796,18,0.10866560962878996,35.05011144800028,0.1998962823333209,1365.272,0.2029135689999748,0.00890684957311199,0.0010775455,7.95578755262088e-05,0.1869718602222608,0.16688827500001935,0.04297221,0.19752253700016809
-1.9690813,8.996731820742039e-06,0.0008396395704854003,0.21594373400012046,0.010785863,0.010006059133686617,19,0.10707430862304237,35.685878179000156,0.200115786374997,1365.272,0.20475221800006693,0.009116649662479628,0.0010092328,7.843118090830912e-05,0.19530870397221,0.1538710310001079,0.041236162,0.1977687200001128
-1.9751489,8.16404728452318e-06,0.0005597322192772011,0.21443424299968683,0.010632952,0.009705891745358337,20,0.10555649735033512,35.52780857400012,0.19999388175002902,1365.272,0.20287743800008684,0.005699536241564496,0.0009784056,7.73016258285174e-05,0.19420782615276266,0.18129254799987393,0.039411236,0.19716841199988266
-1.9815125,8.193396767544807e-06,0.0006343619132801371,0.20646900299971094,0.01048391,0.010014881139511345,21,0.10407656710594893,34.479006718000164,0.1999319581250284,1365.276,0.20299095499967734,0.014118807924756165,0.0010094014,7.625456110973674e-05,0.1783914831944205,0.15678810000008525,0.042189904,0.19741650300011315
-1.9865799,7.203761953515257e-06,0.0006527469284293821,0.21502063699972496,0.010349626,0.008593370756045708,22,0.10274314797586864,35.26027993200023,0.19989558341667488,1365.276,0.2034191039997495,0.010996560691483684,0.0008660438,7.531013392912832e-05,0.18928976951390394,0.15379267300022548,0.03609161,0.1975347550001061
-1.9923635,7.860733294960722e-06,0.0005711866982890176,0.20840480100014247,0.01022566,0.009844227929152844,23,0.10151214649279912,34.786976875000164,0.1999228171110935,1365.276,0.2033252100000027,0.007751257989931858,0.0009919304,7.444551521176536e-05,0.18412133226387242,0.15914829899975302,0.042347766,0.19800885299991933
-1.9979663,7.12067888178193e-06,0.0004987521346759771,0.20292917599999782,0.01008341,0.008575987986844145,24,0.10010021831840277,35.712570714999856,0.1999239394027591,1365.276,0.2029700349999075,0.0029687550498954363,0.0008643041,7.33872640113178e-05,0.1957932962638943,0.1834343400000762,0.036859322,0.19800934200020492
-2.0036519,7.65394111145267e-06,0.0005275294850802918,0.2166236780003601,0.009960217,0.009495087131875904,25,0.0988773638382554,35.3900631370002,0.19993176762497772,1365.28,0.2026535570003034,0.008614647959341293,0.0009569031,7.248047930059127e-05,0.1915152043055678,0.1598742620003577,0.040458776,0.19775446099993133
-2.0080929,7.261962319095546e-06,0.0005565270413258721,0.216005591999874,0.009859278,0.009240487779247034,26,0.09787473920732737,35.01853001600011,0.1999286356249728,1365.28,0.20261315900006593,0.007925041278836243,0.0009309806,7.180397819360628e-05,0.18610143723609301,0.16318713700002263,0.04106187,0.1975437129999591
-2.0112767,6.67502961670627e-06,0.0005206428995075618,0.21232323399999586,0.009778125,0.008230705284260297,27,0.09706947517891724,34.88363443499975,0.1998959881944605,1365.28,0.202758625000115,0.00910271300298428,0.00082938664,7.117747170721284e-05,0.18548931999999418,0.1480284029998984,0.036332767,0.19805078600029447
-2.0162473,7.78614808553558e-06,0.0006532930742225835,0.24846846099990216,0.009682233,0.01009364701381171,28,0.09611692817674743,35.59736798799986,0.20018381254161946,1365.28,0.20290046699983577,0.017475998246854908,0.0010166676,7.053908984744339e-05,0.19378581094443664,0.15386186199975782,0.04321245,0.19763764700019237
-2.0204456,6.914162577820023e-06,0.0006208612681365593,0.24341105700023036,0.009578183,0.008583027400392526,29,0.09508382539368337,34.770874765999906,0.1998803872222652,1365.28,0.20358117199975823,0.01973769276482204,0.0008648628,6.980023550163928e-05,0.18290837556943668,0.15157398999963334,0.038556542,0.19725439000012557
-2.0248728,6.90460618712257e-06,0.0004277598254868206,0.19048558100030277,0.009482902,0.008668324058187737,30,0.09413799095071024,33.254406949999975,0.19970661302776055,1365.28,0.20078526699990107,0.014567550779321337,0.00087335677,6.91025178033063e-05,0.1628416720417047,0.14681878800001869,0.03956585,0.19764873699978125
-2.0284183,6.738139600164427e-06,0.0006337741297507111,0.2100221320001765,0.009403118,0.008250749977479991,31,0.09334567323740986,34.899876394999865,0.19999206722220858,1365.284,0.20367822000025626,0.01627638343157532,0.00083151367,6.855027054876296e-05,0.1843546599444671,0.15154552100011642,0.038287967,0.19754402900025525
-2.0327373,6.2958955324695955e-06,0.0005516346360081848,0.21623396299992237,0.009306677,0.007816522305349448,32,0.09238765574991703,36.22340836700005,0.2001780263611105,1365.284,0.20338791999984096,0.007321786030221528,0.00078751764,6.791093558907353e-05,0.20217363493062143,0.17844999399994776,0.036367342,0.1980561319996923
-2.037682,7.067221187774692e-06,0.0005515428301632745,0.21824389999983396,0.009209681,0.008649750210767276,33,0.09142487465093534,35.37715554999977,0.20001847920829302,1365.284,0.2030090499997641,0.017150331527348107,0.00087167096,6.719397075964177e-05,0.19099811297221297,0.15523727700019663,0.040827822,0.19789802700006476
-2.0410085,6.0948548072012465e-06,0.0005387792518102204,0.23510911199991824,0.009131884,0.00771481523038949,34,0.09065231856786543,35.57509214399988,0.2000291027916761,1365.284,0.20251938000001246,0.015751418232219476,0.0007772062,6.665169030384277e-05,0.19453724240278486,0.14824992100011514,0.036905047,0.1974554190001072
-2.0451376,6.482312278970367e-06,0.0005948359685796765,0.21840320299997984,0.009048717,0.0080410219293958,35,0.08982715776397122,35.53357770399998,0.1999932014722074,1365.284,0.2034123799999179,0.0071203736517110134,0.0008103176,6.600065353268292e-05,0.19275502129166475,0.17015514800004894,0.038632147,0.1973301339999125
-2.0489552,6.141479567346195e-06,0.0007173119789997234,0.21983528700002353,0.008964678,0.00741983587564503,36,0.08899228129949835,35.29848457700018,0.20006717316663802,1365.284,0.203729808999924,0.01071175448192747,0.00074766384,6.544995353073723e-05,0.1893830734721986,0.16080418999990798,0.03590387,0.19748580700024831
-2.0529044,6.249391850712073e-06,0.0005427708814410277,0.21443222200014134,0.008887035,0.0077824534852658596,37,0.08822169206622574,35.67362316200024,0.19998231954167522,1365.284,0.20342467800037412,0.005995801111410561,0.00078414724,6.486575658628781e-05,0.19514480995833436,0.16616601799978525,0.037836175,0.19777732600005038
-2.0566602,6.043589950590447e-06,0.0004949597580881082,0.216217972999857,0.008805863,0.007084528938806026,38,0.08741512346184915,35.66627688100016,0.19998365498609397,1365.284,0.2025228419997802,0.004891647106067878,0.0007140803,6.435071322307017e-05,0.19430207931943894,0.18251271000008273,0.035309926,0.19776295100018615
-2.0613081,5.8940886321440425e-06,0.0004816159749199666,0.2207981030001065,0.008712207,0.007100671170896059,39,0.08648575666464037,35.72497513600001,0.19992887069440712,1365.284,0.20267059300022083,0.007887759087443906,0.00071556465,6.363149077515118e-05,0.1953635988611053,0.1687061000002359,0.035157487,0.19814325199968152
-2.0651236,6.043639638756811e-06,0.0005717484827342537,0.21199904600007358,0.008640849,0.007531297882868483,40,0.08577739136914413,34.96998030800023,0.19995062127777727,1365.284,0.2027965669999503,0.017023262062193106,0.0007589066,6.310885227220651e-05,0.18499880430557092,0.15155228000003262,0.038278356,0.19776571100010187
-2.0691953,5.508994967505046e-06,0.0006373704284799646,0.19934235900018393,0.008551634,0.006493225648773683,41,0.08489123731851578,33.869877793999876,0.19984823022221893,1365.284,0.20223926500011657,0.01819438719214005,0.000654428,6.251050945138559e-05,0.1706530674027565,0.1502920500001892,0.03271389,0.19729814499987697
-2.0734453,6.1259531051809516e-06,0.0004369359514631603,0.209185429000172,0.00848073,0.007816262293432087,42,0.08418767930318911,35.3974385890001,0.19994495068057935,1365.284,0.20184117600001628,0.0067782528207418116,0.000787409,6.196146119287328e-05,0.19075136719446087,0.16504208200012727,0.04045641,0.19752229300002
